ability,trait,value,table_name
General Mental Ability,Agreeableness,-0.1414213562373095,argeeableness
General Mental Ability,Compassion,,argeeableness
General Mental Ability,Politeness,-0.0,argeeableness
General Mental Ability,Tender Mindedness,-0.2449489742783178,argeeableness
General Mental Ability,Nurturance,,argeeableness
General Mental Ability,Cooperation,-0.0,argeeableness
General Mental Ability,Lack of aggression,-0.0,argeeableness
General Mental Ability,Modesty,-0.41231056256176607,argeeableness
General Mental Ability,Non manipulative,-0.1414213562373095,argeeableness
General Mental Ability,Warmth,,argeeableness
General Mental Ability,Interpersonal sensitivity,,argeeableness
General Mental Ability,Customer service,,argeeableness
General Mental Ability,Trust,,argeeableness
General Mental Ability,Machiavellianism,,argeeableness
General Mental Ability,Self monitoring,,argeeableness
General Mental Ability,Conscientiousness,,argeeableness
General Mental Ability,Industriousness,,argeeableness
General Mental Ability,Orderliness,-0.2645751311064591,argeeableness
General Mental Ability,Achievement,,argeeableness
General Mental Ability,Persistence,,argeeableness
General Mental Ability,Dependability,,argeeableness
General Mental Ability,Cautiousness,-0.3,argeeableness
General Mental Ability,Orderliness,,argeeableness
General Mental Ability,Procrastination avoidness,-0.22360679774997896,argeeableness
General Mental Ability,Routine seeking,-0.41231056256176607,argeeableness
General Mental Ability,Cold efficiency,-0.0,argeeableness
General Mental Ability,Judging-Perceiving,-0.37416573867739417,argeeableness
General Mental Ability,Self control,,argeeableness
General Mental Ability,Type A,,argeeableness
General Mental Ability,Achievement via Independence,,argeeableness
General Mental Ability,Rugged individualism,,argeeableness
Fluid,Agreeableness,-0.22360679774997896,argeeableness
Fluid,Compassion,-0.3,argeeableness
Fluid,Politeness,,argeeableness
Fluid,Tender Mindedness,-0.31622776601683794,argeeableness
Fluid,Nurturance,-0.0,argeeableness
Fluid,Cooperation,-0.2,argeeableness
Fluid,Lack of aggression,,argeeableness
Fluid,Modesty,-0.2449489742783178,argeeableness
Fluid,Non manipulative,,argeeableness
Fluid,Warmth,,argeeableness
Fluid,Interpersonal sensitivity,,argeeableness
Fluid,Customer service,,argeeableness
Fluid,Trust,,argeeableness
Fluid,Machiavellianism,,argeeableness
Fluid,Self monitoring,-0.0,argeeableness
Fluid,Conscientiousness,-0.43588989435406733,argeeableness
Fluid,Industriousness,,argeeableness
Fluid,Orderliness,,argeeableness
Fluid,Achievement,-0.1414213562373095,argeeableness
Fluid,Persistence,,argeeableness
Fluid,Dependability,-0.282842712474619,argeeableness
Fluid,Cautiousness,-0.282842712474619,argeeableness
Fluid,Orderliness,-0.7615773105863908,argeeableness
Fluid,Procrastination avoidness,,argeeableness
Fluid,Routine seeking,-0.458257569495584,argeeableness
Fluid,Cold efficiency,-0.4898979485566356,argeeableness
Fluid,Judging-Perceiving,-0.5196152422706632,argeeableness
Fluid,Self control,,argeeableness
Fluid,Type A,-0.0,argeeableness
Fluid,Achievement via Independence,,argeeableness
Fluid,Rugged individualism,,argeeableness
Induction,Agreeableness,-0.1414213562373095,argeeableness
Induction,Compassion,,argeeableness
Induction,Politeness,-0.4,argeeableness
Induction,Tender Mindedness,-0.3872983346207417,argeeableness
Induction,Nurturance,-0.31622776601683794,argeeableness
Induction,Cooperation,,argeeableness
Induction,Lack of aggression,-0.0,argeeableness
