ability,trait,value,table_name
General Mental Ability,Agreeableness,-0.02,argeeableness
General Mental Ability,Compassion,0.27,argeeableness
General Mental Ability,Politeness,-0.0,argeeableness
General Mental Ability,Tender Mindedness,-0.06,argeeableness
General Mental Ability,Nurturance,0.02,argeeableness
General Mental Ability,Cooperation,0.0,argeeableness
General Mental Ability,Lack of aggression,-0.0,argeeableness
General Mental Ability,Modesty,-0.17,argeeableness
General Mental Ability,Non manipulative,-0.02,argeeableness
General Mental Ability,Warmth,0.01,argeeableness
General Mental Ability,Interpersonal sensitivity,0.19,argeeableness
General Mental Ability,Customer service,0.08,argeeableness
General Mental Ability,Trust,0.07,argeeableness
General Mental Ability,Machiavellianism,0.01,argeeableness
General Mental Ability,Self monitoring,0.11,argeeableness
General Mental Ability,Conscientiousness,0.0,argeeableness
General Mental Ability,Industriousness,0.38,argeeableness
General Mental Ability,Orderliness,-0.07,argeeableness
General Mental Ability,Achievement,0.03,argeeableness
General Mental Ability,Persistence,0.03,argeeableness
General Mental Ability,Dependability,0.14,argeeableness
General Mental Ability,Cautiousness,-0.09,argeeableness
General Mental Ability,Orderliness,0.15,argeeableness
General Mental Ability,Procrastination avoidness,-0.05,argeeableness
General Mental Ability,Routine seeking,-0.17,argeeableness
General Mental Ability,Cold efficiency,0.0,argeeableness
General Mental Ability,Judging-Perceiving,-0.14,argeeableness
General Mental Ability,Self control,0.01,argeeableness
General Mental Ability,Type A,0.02,argeeableness
General Mental Ability,Achievement via Independence,0.48,argeeableness
General Mental Ability,Rugged individualism,0.1,argeeableness
Fluid,Agreeableness,-0.05,argeeableness
Fluid,Compassion,-0.09,argeeableness
Fluid,Politeness,0.02,argeeableness
Fluid,Tender Mindedness,-0.1,argeeableness
Fluid,Nurturance,-0.0,argeeableness
Fluid,Cooperation,-0.04,argeeableness
Fluid,Lack of aggression,0.07,argeeableness
Fluid,Modesty,-0.06,argeeableness
Fluid,Non manipulative,0.08,argeeableness
Fluid,Warmth,0.02,argeeableness
Fluid,Interpersonal sensitivity,0.08,argeeableness
Fluid,Customer service,0.0,argeeableness
Fluid,Trust,0.1,argeeableness
Fluid,Machiavellianism,0.19,argeeableness
Fluid,Self monitoring,0.0,argeeableness
Fluid,Conscientiousness,-0.19,argeeableness
Fluid,Industriousness,0.02,argeeableness
Fluid,Orderliness,0.06,argeeableness
Fluid,Achievement,-0.02,argeeableness
Fluid,Persistence,0.02,argeeableness
Fluid,Dependability,-0.08,argeeableness
Fluid,Cautiousness,-0.08,argeeableness
Fluid,Orderliness,-0.58,argeeableness
Fluid,Procrastination avoidness,0.01,argeeableness
Fluid,Routine seeking,-0.21,argeeableness
Fluid,Cold efficiency,-0.24,argeeableness
Fluid,Judging-Perceiving,-0.27,argeeableness
Fluid,Self control,0.02,argeeableness
Fluid,Type A,0.0,argeeableness
Fluid,Achievement via Independence,0.36,argeeableness
Fluid,Rugged individualism,0.04,argeeableness
Induction,Agreeableness,-0.02,argeeableness
Induction,Compassion,0.12,argeeableness
Induction,Politeness,-0.16,argeeableness
Induction,Tender Mindedness,-0.15,argeeableness
Induction,Nurturance,-0.1,argeeableness
Induction,Cooperation,0.02,argeeableness
Induction,Lack of aggression,-0.0,argeeableness
Induction,Modesty,-0.01,argeeableness
Induction,Non manipulative,0.06,argeeableness
